alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,5,0.07928603057452702,0.07928603057452702
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,6,0.06292071642710262,0.06292071642710262
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,7,0.06701134830596377,0.06701134830596377
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,8,0.0679200932831472,0.0679200932831472
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,9,0.06500906279983412,0.06500906279983412
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,10,0.08333513835770555,0.08333513835770555
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,11,0.07055913235949965,0.07055913235949965
Adjacent Node IP Address Ping Failure,GSM Cell out of Service,12,0.07473252545279635,0.07473252545279635
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-12,0.07628759628677534,0.07628759628677534
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-11,0.07622796045118935,0.07622796045118935
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-10,0.08260016491943581,0.08260016491943581
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-9,0.09600046141993437,0.09600046141993437
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-8,0.0957293059212697,0.0957293059212697
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-7,0.09114309953087528,0.09114309953087528
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-6,0.1072661321516249,0.1072661321516249
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-5,0.09556724353959,0.09556724353959
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-4,0.09619240237900514,0.09619240237900514
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-3,0.09983499176119333,0.09983499176119333
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-2,0.11370841920887036,0.11370841920887036
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,-1,0.11766119281792208,0.11766119281792208
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,0,0.130984834192245,0.130984834192245
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,1,0.09485512584847756,0.09485512584847756
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,2,0.08921607453106961,0.08921607453106961
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,3,0.09529756103997646,0.09529756103997646
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,4,0.08076407540596975,0.08076407540596975
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,5,0.07364207913784447,0.07364207913784447
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,6,0.06738144599274123,0.06738144599274123
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,7,0.09253821360416106,0.09253821360416106
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,8,0.07550637562707059,0.07550637562707059
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,9,0.07112381226980183,0.07112381226980183
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,10,0.11543909383552464,0.11543909383552464
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,11,0.0716885218289181,0.0716885218289181
Adjacent Node IP Address Ping Failure,GTPC Tunnel Path Broken,12,0.08096104058955884,0.08096104058955884
Adjacent Node IP Address Ping Failure,High Temperature (35Â°),-12,0.11919717970027283,0.11919717970027283
Adjacent Node IP Address Ping Failure,High Temperature (35Â°),-11,0.10886928047914454,0.10886928047914454
Adjacent Node IP Address Ping Failure,High Temperature (35Â°),-10,0.12597813645099876,0.12597813645099876
Adjacent Node IP Address Ping Failure,High Temperature (35Â°),-9,0.12097508005927379,0.12097508005927379
Adjacent Node IP Address Ping Failure,High Temperature (35Â°),-8,0.1433675440340484,0.1433675440340484
